,ave_cats,ave_morgan,ap_cats,ap_morgan
0,0.08025911170134281,0.11940475136491069,0.03142294827617059,0.051607970094445586
1,0.05912409125093998,-0.08067122085735773,0.020422963158372203,0.005795125047455887
2,0.022716372417652064,-0.05247074934106871,0.024759051849731116,0.018440787473726482
3,0.1702924328189961,0.10354914485885036,0.05205657851555979,0.43031184322750277
4,0.09378014916810096,0.11616247848537015,0.021940586419775202,0.1082920805969838
5,0.07158161122126755,0.14533959021810972,0.05019508544616167,0.12228445448245784
6,0.13108923987819365,0.1419218503710873,0.07177537664146016,0.034683082991049226
7,0.27207177991503956,0.3638097101513833,0.6786861961196635,0.7649939652712072
8,0.07560142695845873,0.13302829547754147,0.26867893449749364,0.2731133595269502
9,0.10772886477284815,-0.04078076391105423,0.0022536446716566487,0.0035101729230576587
10,-0.04026009326256319,-0.1587039307149557,0.04814720420180336,0.03927933072986956
11,0.04196121069968528,0.1033115845857474,0.21890255100283942,0.01123206855091261
12,-0.005651600823477376,0.0830156395219494,0.04903580425016554,0.18076325449010455
13,0.0838936120176153,0.13471562702352685,0.10242821310759105,0.5055303644629466
14,0.20633339151684416,0.2923550634892927,0.12330369407817149,0.1078134627690327
15,0.023776639059365612,-0.09759112821080285,0.004157983666918639,0.005281776711157116
