,ave_cats_before,ave_cats_after,ave_morgan_before,ave_morgan_after,auroc_before,auroc_after,ap_before,ap_after,mcc_before,mcc_after,ef_before,ef_after,targets
65,0.13804008589368866,0.10685435545519423,0.2165106829460623,0.11012502810444103,0.9644401432430406,0.9539738864939018,0.961311020181317,0.9496415886474441,0.683246505987733,0.636973405842809,1.9677996422182467,1.9677996422182467,5.0
66,0.15956273052867914,0.17008214393898907,0.17967748258227767,0.022973099790333962,0.9969530122414069,0.9880733890462868,0.9861769119461521,0.927210952622569,0.9860688998465049,0.7664497076782986,13.162393162393162,12.82051282051282,2.0
67,0.6763572109460371,0.6037794982678848,1.0105831841466908,0.9331188145668161,0.9999974166815209,0.9999948333630415,0.9999682600139652,0.9999368746646468,0.9938798869075987,0.98464959563207,13.333333333333334,13.333333333333334,2.0
68,0.12365591397849457,0.09905661244370917,0.15217627056336736,0.039591489752780096,0.9386200716845878,0.9220889624115431,0.6573956345179695,0.5542661831993625,0.538832475708385,0.49382900733840807,12.258064516129032,11.29032258064516,1.0
69,0.49495357314808436,0.3939997436362384,0.8476039367469315,0.7074767553101688,0.999826485502942,0.999098818850865,0.9997594041961921,0.9990394448617099,0.9901123349936223,0.9865442244760092,2.4520255863539444,2.4520255863539444,1.0
70,0.27504545689195303,0.19709619653437804,0.49672595660229074,0.292987520625288,0.9957967431642587,0.992272997554601,0.9964068597167597,0.9930132597006704,0.9313842251788558,0.8958075454474247,1.9269898264512266,1.9269898264512266,1.0
71,0.6526765246388453,0.5616945975878394,1.0107763457349057,0.9269474119780448,1.0,1.0,1.0,1.0,0.997041983135157,0.9911074185849604,13.224043715846994,13.224043715846994,2.0
72,0.10052922194334879,0.09139558469497516,0.040986938482815205,-0.03923310966552257,0.8091584285202068,0.7750550632587205,0.09550809136288971,0.04148407733883395,0.0,0.0,5.714285714285714,4.571428571428571,4.0
73,0.09819853663430467,0.03949022140453656,0.08721798396408753,-0.024574427301104596,0.8273196436684315,0.5523646657570063,0.44770562969622596,0.1960368013752719,0.3303916212127183,0.023174246835534894,2.721268163804491,1.2153236459709378,1.0
74,0.6463397540811615,0.5853703470561082,1.0371022703428594,0.9755552582987117,0.9997088631499433,0.9996905031684082,0.9966650927449596,0.996429915264746,0.9710691745007031,0.9710691745007031,14.319526627218933,14.319526627218933,4.0
75,0.1406305067481538,0.06752024446142102,0.24363941940412537,0.01270690094219512,0.9319242848654614,0.784194890077243,0.43501229440449507,0.0767487594000686,0.45996944016782465,0.0,14.285714285714286,5.142857142857143,0.0
76,0.3978901119805672,0.2809118678914655,0.7059875398297428,0.5065738190092594,0.9940406290812911,0.9880702832621793,0.9561085145904953,0.9229679949223445,0.9073452343211961,0.8463365950376884,16.744186046511626,15.813953488372093,0.0
77,0.6337447044025157,0.5533338639222414,1.0011753459119497,0.9350023464837052,0.9999972555746142,0.9999945111492281,0.9999923363317385,0.999984631663609,0.9967412796322548,0.9967412796322548,3.776,3.776,3.0
78,0.14851259760122354,0.11245753843677048,0.3850570715608146,0.09887080415358596,0.9440231828060855,0.8557192304596313,0.7694681088703549,0.1364465212091408,0.6002821151862612,0.0,15.121951219512193,6.341463414634146,4.0
79,0.6848264425815904,0.6153294132009441,1.0572588915113534,0.9939506185399202,0.9992319117766745,0.9993183852852608,0.9962985634641951,0.9964615860955722,0.9907863836683353,0.9907863836683353,13.636363636363635,13.636363636363635,4.0
80,0.06366863391772265,0.026792223572296436,0.1476349592084708,0.001157785106752185,0.8494835965978129,0.7946754035757682,0.2480117713349672,0.13766810300854512,0.32264828965674125,0.2058901303197946,8.571428571428571,7.142857142857142,0.0
81,0.4498823595428465,0.36112210670409595,0.7970344829113813,0.6496523947102033,0.998877716093182,0.998217635953251,0.9988099802370173,0.9980864026387044,0.9758512981099468,0.9706596185562991,2.3099703849950637,2.3099703849950637,1.0
82,0.5970014609984677,0.5130112247443253,0.951612372162634,0.854602073905142,0.9989701742507928,0.997530556248441,0.9913737227538598,0.985385833431782,0.951120193807301,0.9552674686861713,16.842105263157894,16.842105263157894,4.0
83,0.6741291486291486,0.5877577922077923,1.0176395382395385,0.9514492784992787,0.9994184704184704,0.9993484848484848,0.9991813488369881,0.9991072053980747,0.988481916889207,0.9875947723669611,2.772727272727273,2.772727272727273,1.0
84,0.19503963259479928,0.13926955874138902,0.2999312852975858,0.16209495438465826,0.986939738099671,0.9768087879352075,0.9703394780261371,0.9400415057766552,0.8106862835082269,0.756784129053181,3.562340966921119,3.511450381679389,5.0
85,0.06466109369329909,0.0431170618639275,0.06561554983800894,-0.014012900441675025,0.9778647578633521,0.8777032571490221,0.9679647661800936,0.7696815633481104,0.10982516468735593,0.0,2.4458204334365323,1.981424148606811,4.0
86,0.039967367657723074,0.038484408992023156,0.052021996615905286,-0.07451655789219236,0.79832910321489,0.6031695673193136,0.15884905572650496,0.06502606060968144,0.21691831045435883,0.0757735262090845,2.8571428571428568,2.142857142857143,0.0
87,0.6121697331676488,0.5340127069387102,0.958827881776032,0.882721903769324,0.9997194051388945,0.9996676287061904,0.9995633264742921,0.9995030530529816,0.9913995648244531,0.9914093019174883,2.821782178217821,2.821782178217821,1.0
88,0.2988051890708616,0.22274074235305463,0.6249761037814171,0.49200824629429823,0.9955332572551532,0.9852969070177456,0.9800272237422067,0.9207072487350718,0.8838346283549211,0.6031465232444349,6.993865030674846,6.748466257668712,0.0
89,0.6215845402976836,0.536435879012038,0.9746687830515304,0.9075632964829271,0.9988435967518229,0.998835444865884,0.9961496348790876,0.9959049142546709,0.9686690455766229,0.9672675938307799,5.667447306791568,5.667447306791568,5.0
90,0.6199284837976985,0.5341896849640715,0.9776978840378893,0.9071011354373371,0.9981909223825717,0.998137990982842,0.9926867755399487,0.9924027077543348,0.9659363986448551,0.9644159880233902,5.620608899297424,5.620608899297424,5.0
91,0.35636497283477153,0.13941131351869604,0.6250203472888037,0.22618152764461485,0.9984162494229608,0.9636097541179036,0.9966689117891703,0.8114449577382101,0.9875793457448043,0.0,5.936507936507937,5.365079365079365,4.0
92,0.32325292888795887,0.26435252392858327,0.6690527695476424,0.571389601759352,0.9940926596982814,0.9877777900158974,0.9758345999807602,0.9283619310602542,0.8985866167053507,0.7361686310927048,6.07361963190184,5.705521472392638,0.0
