,ave_before_trim,ave_after_trim,ap_before_trim,ap_after_trim,mcc_before_trim,mcc_after_trim,ef_before_trim,ef_after_trim,cluster_size,active_test_fraction,inactive_test_fraction
0,0.012359158741204634,-0.0382128663109873,0.10638975956652694,0.006941726058725996,0.1288059744889165,0.0,8.333333333333334,1.0,1272.0,0.08571428571428572,0.22968725025307687
1,0.11179399913861365,-0.00256900166488927,0.2016308790516478,0.029810127925104034,0.2367681826426158,0.01152753078191166,11.798561151079136,3.4532374100719423,1177.0,0.06341240875912409,0.2442176077797945
2,0.10570996768094615,0.002656547803633391,0.27205539507778415,0.12892056583579128,0.269965628560099,0.1380731088208866,11.260504201680671,6.834733893557423,1337.0,0.14868804664723032,0.25622593466650107
3,0.04832111554476004,-0.030842701339721446,0.02371603125388262,0.007714367379770857,-0.0007025960096159599,0.0,3.7869822485207094,0.8284023668639052,1912.0,0.17105263157894737,0.29693217907175445
4,0.09003643849033421,0.01696783065094032,0.14858921843821563,0.07411062866090692,0.28124459508152944,0.0,13.333333333333332,11.746031746031745,1128.0,0.09692307692307692,0.34320411581718113
5,0.096849665452297,-0.0022869242359845887,0.12102753616996197,0.08460069898039013,0.0948840199106705,0.10824501835400077,7.015706806282722,4.607329842931937,1028.0,0.35567970204841715,0.2563531114327062
6,0.04056249919484689,-0.019559935587761645,0.009909892945083694,0.002017201836558202,0.0,0.0,0.8695652173913042,0.0,1836.0,0.021718602455146365,0.34161302077007166
7,0.03962682301779624,-0.0032390027102555674,0.4392747682760272,0.2475264066579172,0.11992592456829775,0.0,17.662337662337663,16.103896103896105,1599.0,0.30677290836653387,0.30090540235930574
8,0.1355874928701064,0.048461602281565874,0.5257744802110843,0.4238747745137201,0.4750917966109353,0.4214448799127097,17.93103448275862,16.96551724137931,1947.0,0.15002586652871186,0.2323062949765947
9,0.16116230504503182,0.037780420297283346,0.2860294051255769,0.12586904307136138,0.4818400824373598,0.2817349961542053,17.6,12.8,1278.0,0.04180602006688963,0.2984353830689218
10,0.07529400636882438,0.00010093872952077199,0.196525655161705,0.0996375201592507,0.0,0.0,14.782608695652172,11.180124223602483,1596.0,0.2911392405063291,0.33754170799891786
11,0.10747266329387134,-0.027377889896832985,0.08488725040067702,0.007279182217906373,0.0156608652405944,-0.0008013931066615683,10.206896551724139,0.13793103448275862,1783.0,0.05566218809980806,0.24856221535188325
12,0.03765998060718173,-0.03180148326659438,0.04157719263225152,0.009645694352185187,-0.001966391324828853,-0.0018826116876232897,8.823529411764705,4.117647058823529,1656.0,0.15315315315315314,0.2661783334251253
13,0.07368083670715259,0.009551360512192852,0.17605774909303357,0.07865269796052665,0.20604165154579782,0.0605914466424331,9.12280701754386,5.701754385964912,1489.0,0.23408624229979466,0.3264710176668127
14,0.10879944111198142,-0.030657263132633283,0.07166526472564869,0.0237164060555739,0.05686453562951053,0.001500577112858767,4.712990936555891,1.2084592145015105,1747.0,0.2706459525756337,0.2641423491727644
15,0.0712545067833324,0.007870749729236626,0.14848112361337576,0.023323736143933717,0.1472642843382203,0.10921225195998656,9.6875,5.0,1348.0,0.06451612903225806,0.29260278542240015
16,0.22030297450840686,0.14263419799635846,0.9207484093463525,0.8996067160213397,0.6074881007718625,0.4932767626110279,17.492877492877493,17.00854700854701,1370.0,0.9212598425196851,0.2650173754757571
17,0.0647300477300477,-8.369408369407472e-05,0.11321214637686049,0.04176806605861521,-0.002447773513756079,-0.002447773513756079,7.692307692307692,3.4188034188034186,1373.0,0.2526997840172786,0.26058509438219146
18,0.23425506421822095,-0.018497262692259042,0.30093961349941134,0.035839492572199386,0.062465908457780155,-0.0013999959344316746,10.922693266832917,1.0972568578553616,1425.0,0.24317768344451182,0.2251684173557677
19,0.11869412404374857,0.03773477301942485,0.10835666159927933,0.0672489042430725,0.0,0.0,4.873949579831932,3.4733893557422966,1114.0,0.6329787234042553,0.3177554281417426
20,0.07354792064529564,0.004859572910796306,0.1944998722052464,0.10448438929851718,0.05279165467850925,-0.0009176852862908714,13.641618497109826,10.520231213872831,1400.0,0.3425742574257426,0.2652479892761394
21,0.07807840144314154,-0.005212592798168325,0.016495738981365096,0.009125164230518148,-0.0022600978396377655,-0.004230799353289104,1.0285714285714285,0.0,1470.0,0.32771535580524347,0.3040236249538575
22,0.03494215943364276,-0.013652725245022368,0.025163101337381154,0.02361580246723155,0.028693437403222125,0.03437322454657082,1.6748768472906403,1.5763546798029555,1852.0,0.17530224525043178,0.3104793852367831
23,0.045470242288604246,-0.0055433953051482465,0.036532545911677664,0.030265710200822905,0.024372296100746954,-0.0017210850752866229,0.3566529492455418,0.0823045267489712,1660.0,0.8741007194244604,0.2508304832348754
24,0.13361423835445935,0.0803958100225643,0.9387705983031147,0.9191797056897,0.3667097409213345,0.20568776201205172,18.937728937728938,18.608058608058606,1105.0,0.7193675889328063,0.27403088882070165
25,0.12377949337751126,-0.010744075718925938,0.30150240088927094,0.06335543407460124,0.30281019309923124,0.09122531936125682,7.8018575851393175,5.510835913312693,1546.0,0.12427856868026164,0.2748694415900677
26,0.06993126629946755,-0.00431422167774953,0.3160936961360773,0.05704414401173438,0.0,0.0,6.953223767383059,0.9102402022756004,1672.0,0.9599514563106796,0.25039920918561326
27,0.03671904756732497,-0.003428233549844617,0.27270110860557223,0.22681220178568826,0.0,0.0,5.8173076923076925,5.4326923076923075,1842.0,0.7746741154562383,0.23238974448722435
28,0.13380688172043004,0.006202150537634343,0.10007629650238621,0.033538294520218045,0.0,-0.0005153538138769938,17.77777777777778,11.11111111111111,1905.0,0.06976744186046512,0.2418398552081383
29,0.07800137931034479,-0.02872531373657433,0.03200812712738971,0.018764889791816432,0.0,-0.002389251706065894,1.967213114754098,0.8196721311475409,1778.0,0.45018450184501846,0.24098387900947316
30,0.07274379358057614,-0.012987630544731288,0.09119828741405868,0.03253490184419425,0.0263933974830667,-0.007739649784320088,6.6871165644171775,2.638036809815951,1754.0,0.3286290322580645,0.2697152287978576
31,0.05891598661502628,-0.03420355512598222,0.0036728611220687817,0.0014512116738513799,-0.0006716938528851627,-0.0007358209953932766,1.9512195121951217,0.0,1772.0,0.07809523809523809,0.3086443011375987
32,0.1244745234416581,0.014222538923022165,0.716487903550106,0.27214586255233936,0.5231388117174192,0.25932660949361563,11.556662515566623,4.757160647571606,1250.0,0.37788235294117645,0.20932494875447313
33,0.06651021305818028,-0.026301786350715783,0.24732880143784922,0.09764453782226777,0.0766061649037406,0.03327927694200039,8.988235294117647,4.564705882352941,1691.0,0.16178149980966883,0.2574472132394902
34,0.1985120017083697,0.07211009129101009,0.5606982706178426,0.34618313021105407,0.44320465764127104,0.20007314938273543,10.878980891719745,7.974522292993631,1065.0,0.45507246376811594,0.2564144954371115
35,0.10839084974332547,0.03480819959277265,0.6669800988393834,0.23423059211652864,0.6150801459064209,0.17516869430818105,14.847457627118644,9.016949152542374,1204.0,0.11195445920303605,0.2685414434056391
36,0.13573747506807876,-0.03501001134784759,0.38723049154928285,0.03185538572860116,0.4311153901201888,-0.004652200896156205,12.300884955752212,3.716814159292035,1951.0,0.16448326055312956,0.2589379303671929
37,0.06657288056811111,0.007528362678050848,0.02718213531555462,0.029199355809194534,0.0,-0.0014048498066579704,0.24590163934426226,0.12295081967213113,1267.0,0.7947882736156352,0.24802960399846213
38,0.07504859963730787,-0.0069612197438471135,0.04705764834718468,0.015903175199543436,0.054510017081613446,-0.011280793073330917,4.259927797833934,0.2888086642599278,1119.0,0.09132871744147708,0.3060583164474362
39,0.06992303137951444,-0.04569794750345374,0.028533564120384186,0.013359267186563027,-0.0006998033483660004,-0.0006998033483660004,4.666666666666667,1.3333333333333333,1751.0,0.17647058823529413,0.23891786756254974
40,0.07376597167810106,0.031806658130601684,0.052464202455646286,0.055767115423664,0.0027409624428616063,0.058777517317558224,3.0985915492957745,2.253521126760563,1031.0,0.5107913669064749,0.27134993832955945
41,0.08250811688311688,-0.01875102890067676,0.02316836769133265,0.010555106495089676,0.0,0.0,4.0,1.6363636363636365,1665.0,0.2140077821011673,0.28184589211029987
42,0.12402165894860512,0.029619268485899353,0.48851577536394575,0.28555840583676667,0.24337872101222519,0.1265425093415253,6.955046649703138,4.223918575063613,1527.0,0.6425068119891009,0.2261359172449915
43,0.12247279173732079,0.03543533220286732,0.058677224604793965,0.03737168227899765,0.13832207129213833,0.13832207129213833,6.9230769230769225,3.4615384615384612,1066.0,0.11791383219954649,0.22429990560525015
44,0.1162031135722495,-0.04665388651406205,0.37431909994960644,0.0336014874330867,0.34167847669967266,-0.0030094523096720477,9.769820971867007,0.20460358056265984,1367.0,0.32475083056478404,0.26166467961282763
45,0.08172408693541222,-0.01272045672064076,0.11605781708040835,0.03748268301289712,0.1508257430498044,0.05342397886870003,6.341463414634146,4.024390243902438,1988.0,0.20297029702970298,0.25784660766961653
46,0.08421256040576841,0.01338869848621771,0.6204102130446794,0.2640038771256879,0.2848769509420922,0.052818338517880294,11.024555461473327,5.622353937341236,1907.0,0.4918783840066639,0.26910606123321884
47,0.037729211087420056,-0.0031942262372349206,0.011340855273359146,0.010402748078981805,-0.002778242123671291,-0.004962385014226011,2.4999999999999996,1.9642857142857142,1106.0,0.13793103448275862,0.2850106347251763
48,0.03838972385068712,0.004516136744371846,0.28637503651602575,0.2227203021858228,0.3247885083104736,0.2447943140727755,12.371134020618555,12.989690721649483,1532.0,0.1913214990138067,0.294463864726445
49,0.06909667163437655,-0.0052083457526080346,0.05226025791448013,0.025419286739825905,0.018595194948325792,0.003470412337948267,3.8251366120218577,1.366120218579235,1820.0,0.366,0.2753068994945185
50,0.07226053482735328,0.0011462629634044763,0.10240728312127867,0.05714255238771379,0.09221214386165791,-0.0028894825856934894,5.76,2.72,1710.0,0.25372124492557513,0.3004979045026328
