,ave_before_trim,ave_after_trim,ap_before_trim,ap_after_trim,mcc_before_trim,mcc_after_trim,cluster_size,active_test_fraction,inactive_test_fraction
0,0.06256511690218458,0.012268134142461806,0.4493183078883,0.032754466530318,0.11660766821363718,0.0,1272.0,0.8480096501809409,0.23025740874177872
1,0.0706770708283313,0.04044297719087642,0.9900702486107459,0.9899104685983507,0.8856299630343857,0.8544664800923822,1021.0,0.4091858037578288,0.24199639765266398
2,0.06264736019972694,-0.024683676064573057,0.8972047221475056,0.897846031572782,0.892683474219508,0.8284561418278602,1932.0,0.7786774628879892,0.21268673868076304
3,0.08391809344670059,0.05901141842504437,0.6263067897026277,0.5385133548672414,0.6471142380375469,0.5968585350581086,1027.0,0.15129449838187703,0.2826397403534079
4,0.047078160076968856,0.018049033307371565,0.7319636855237972,0.187822813305402,0.4941194304185794,0.3581046088053133,1601.0,0.341324200913242,0.2606024199776881
5,0.07587316762268959,0.03408062460165712,0.7229326583177859,0.6653547872750202,0.716682221901039,0.6668472108004485,1355.0,0.054844606946983544,0.24243828948893267
6,0.05908155166136403,0.02340071177995573,0.4443114754089968,0.39800488484592284,0.4441535446704124,0.42361730678164167,1480.0,0.23207036535859268,0.25825036974901217
7,0.06989979105574051,0.041389461261011784,0.7326639160412964,0.6951055064393689,0.6895186484363012,0.6560685104144134,1657.0,0.2038369304556355,0.2646063002789891
8,0.10100656741228792,0.05529463565270665,0.9856681272549974,0.9723201535056094,0.8897955273958675,0.7580301343356406,1430.0,0.5521292217327459,0.25182387408088236
9,0.08692257011800919,0.03269631247104665,0.5445356620635974,0.3623955408822331,0.5497061523555935,0.29572917599267756,1425.0,0.41935483870967744,0.2686983418690736
10,0.09441091946661001,0.05466322427512588,0.8666260677880205,0.8544268707967381,0.8202367242841146,0.7930651301688519,1148.0,0.43394747157977265,0.277389792143981
11,0.09755010222996574,0.04540927468436007,0.9330294983758702,0.8907985500668891,0.8887272319981021,0.8396291885226944,1300.0,0.19066666666666668,0.25890711155096846
12,0.08741885059945087,0.0537620874657298,0.8260628495648911,0.774865759541357,0.7039512035083495,0.671780449883704,1148.0,0.5013342228152101,0.23224432819616192
13,0.08177078676042221,0.06597489342886242,0.8828520988016424,0.8751964432551005,0.8521018140665663,0.8219235230511128,1245.0,0.22706422018348624,0.25714509680959474
14,0.03909713396478126,0.02797006469447444,0.1599999199371397,0.14998205247817573,0.28151465504193934,0.26334507910450417,1238.0,0.25126475548060706,0.27099841521394613
15,0.12192912317070159,0.05160172091837145,0.991760640891561,0.9848245072261461,0.9624682540399334,0.9309615866562078,1787.0,0.11981566820276497,0.2368781031512818
16,0.10333625636438509,0.05110688757393922,0.8534961217401297,0.7842559732603185,0.7818475434769059,0.735814047249781,1481.0,0.19745547073791347,0.26124581488281673
17,0.049685379840013144,0.008471168397969908,0.4014460725395563,0.33972843890131027,0.43911184182879565,0.39916586678057914,1466.0,0.10719874804381847,0.27092737216689355
18,0.08932647796941429,0.0077640894530898175,0.998950864614517,0.9990846349168079,0.9905820741642841,0.9834291592273583,1430.0,0.31024531024531027,0.27850485343120684
19,0.06841181826701914,0.024581989102422375,0.7294204611725619,0.6491522615635289,0.6644353259174717,0.6009583729130499,1472.0,0.29424657534246573,0.23991791151625066
20,0.07493254415633233,0.028414631091068454,0.9465052884871404,0.9370183769737768,0.9030741426817541,0.8890607354436537,1162.0,0.13274336283185842,0.23547630635812575
21,0.09508371392583903,0.06765858515597034,0.9560846155234106,0.9307235582137464,0.8285113402349529,0.7953045311804988,1701.0,0.45078071961982347,0.249565377726267
22,0.018250224796515446,0.0021482781170809595,0.25330732426278035,0.21120957413456137,0.31157051623549314,0.28455308205252267,1029.0,0.2634315424610052,0.23515355156473375
23,0.06907930434045018,-0.0007000233268850686,0.8443520639513981,0.8024818442276551,0.8123025387216558,0.6757508245933279,1407.0,0.13926701570680627,0.21427899918075718
24,0.09982660641539154,0.05588458925891304,0.8131227219178176,0.7862401588570361,0.7215457048643321,0.695277098776247,1798.0,0.14508474576271185,0.28919894623865744
25,0.10933579115419112,0.031463441425550354,0.7679839798100969,0.6106597164151015,0.7516332998824035,0.29952122590849783,1997.0,0.18238021638330756,0.2508958875996527
26,0.07748703174261257,0.017547188007911108,0.5854045113266686,0.40087272524164885,0.572052110051432,0.4014131273897289,1400.0,0.220616570327553,0.2315199335548173
27,0.06263096466284468,0.024770989352788986,0.3576878832132855,0.33338966523656643,0.39935236016712267,0.37922046432051926,1790.0,0.25047619047619046,0.2500922986044451
28,0.1013265431267854,0.04195824172537055,0.6148104672935998,0.4504977769794588,0.5510710037700426,0.4417639531760135,1243.0,0.0888030888030888,0.25832652045640353
29,0.141704373002087,0.07651507904122368,0.9913772542541921,0.9875542689252047,0.9521304646569031,0.9216433325967357,1360.0,0.16455078125,0.3086886822699583
